Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-23 06:33:58,10,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-12-01 15:30:31.600000,2023-03-03 04:14:09
2023-Apr-24 06:35:46,11,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-12-14 15:10:30.909091,2023-03-03 04:14:09
2023-Apr-25 06:35:17,9,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-11-20 20:59:07,2022-12-28 15:11:08
2023-Apr-26 06:35:10,9,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-11-20 20:59:07,2022-12-28 15:11:08
2023-Apr-27 06:35:44,9,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-11-20 20:59:07,2022-12-28 15:11:08
2023-Apr-28 06:34:50,9,18,2022-11-09 00:20:41.555556,2022-12-22 16:52:52,2022-11-20 20:59:07,2022-12-28 15:11:08
2023-Apr-29 06:33:04,10,19,2022-11-17 23:30:17.736842,2022-12-22 16:52:52,2022-12-06 17:22:13.700000,2023-03-03 04:14:09
2023-Apr-30 06:32:49,10,19,2022-11-17 23:30:17.736842,2022-12-22 16:52:52,2022-12-06 17:22:13.700000,2023-03-03 04:14:09
2023-May-01 06:34:53,10,19,2022-11-17 23:30:17.736842,2022-12-22 16:52:52,2022-12-06 17:22:13.700000,2023-03-03 04:14:09
2023-May-02 06:34:37,11,19,2022-11-17 23:30:17.736842,2022-12-22 16:52:52,2022-12-21 14:54:43.181818,2023-03-03 04:14:09
2023-May-03 06:33:32,13,19,2022-11-17 23:30:17.736842,2022-12-22 16:52:52,2023-01-10 21:44:11.384615,2023-03-09 09:52:23
2023-May-04 06:34:19,13,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-10 23:38:31.461538,2023-03-09 09:52:23
2023-May-05 06:34:20,13,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-10 23:38:31.461538,2023-03-09 09:52:23
2023-May-06 06:32:55,15,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-26 06:00:03.266667,2023-03-10 17:49:41
2023-May-07 06:33:05,15,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-26 06:00:03.266667,2023-03-10 17:49:41
2023-May-08 06:34:36,15,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-26 06:00:03.266667,2023-03-10 17:49:41
2023-May-09 06:34:35,15,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-26 06:00:03.266667,2023-03-10 17:49:41
2023-May-10 06:34:06,15,20,2022-11-26 07:08:29.100000,2023-01-04 15:45:22,2023-01-27 07:16:02.266667,2023-03-10 17:49:41
2023-May-11 06:33:36,13,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2023-01-11 11:31:17.538462,2023-03-09 09:52:23
2023-May-12 06:33:46,15,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2023-01-27 12:20:48.333333,2023-03-10 17:49:41
2023-May-13 06:32:56,13,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2023-01-12 04:45:38.153846,2023-03-09 09:52:23
2023-May-14 06:32:57,13,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2023-01-12 04:45:38.153846,2023-03-09 09:52:23
2023-May-15 06:34:33,13,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2023-01-12 04:45:38.153846,2023-03-09 09:52:23
2023-May-16 06:33:51,11,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2022-12-29 06:28:36,2023-03-09 09:52:23
2023-May-17 06:33:43,10,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2022-12-22 06:08:13.300000,2023-03-10 17:49:41
2023-May-18 06:33:53,10,21,2022-12-04 04:09:02.904762,2023-01-04 15:45:22,2022-12-22 10:16:08.700000,2023-03-10 17:49:41
2023-May-19 06:33:48,9,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-06 19:43:59.333333,2022-12-28 15:11:08
2023-May-20 06:32:56,10,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-23 05:22:37.700000,2023-03-10 17:49:41
2023-May-21 06:32:57,10,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-23 05:22:37.700000,2023-03-10 17:49:41
2023-May-22 06:34:45,10,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-23 05:22:37.700000,2023-03-10 17:49:41
2023-May-23 06:33:50,9,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-06 19:43:59.333333,2022-12-28 15:11:08
2023-May-24 06:33:50,10,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-23 14:41:56,2023-03-10 17:49:41
2023-May-25 06:34:15,10,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2022-12-23 17:04:54.300000,2023-03-10 17:49:41
2023-May-26 06:33:42,11,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2023-01-06 15:02:50.454545,2023-03-10 17:49:41
2023-May-27 06:33:01,11,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2023-01-06 15:02:50.454545,2023-03-10 17:49:41
2023-May-28 06:33:10,11,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2023-01-06 15:02:50.454545,2023-03-10 17:49:41
2023-May-29 06:34:57,11,22,2022-12-11 16:52:04.909091,2023-01-06 17:35:32,2023-01-06 15:02:50.454545,2023-03-10 17:49:41
