Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Jul-29 04:24:28,3,125,2022-07-18 05:00:09.824000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Jul-30 04:23:57,3,125,2022-07-18 05:00:09.824000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Jul-31 04:25:25,3,125,2022-07-18 05:00:09.824000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-01 04:25:10,3,125,2022-07-18 06:11:18.800000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-02 04:24:47,5,125,2022-07-18 06:11:18.800000,2022-08-30 19:11:31,2023-07-09 07:22:04.400000,2023-07-11 17:10:13
2023-Aug-03 04:24:50,3,125,2022-07-18 06:11:18.800000,2022-08-30 19:11:31,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-04 04:25:42,3,126,2022-07-21 06:49:59.436508,2022-09-05 22:17:38,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-05 04:24:14,3,126,2022-07-21 06:49:59.436508,2022-09-05 22:17:38,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-06 04:24:10,3,126,2022-07-21 06:49:59.436508,2022-09-05 22:17:38,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-07 04:25:32,3,126,2022-07-21 06:49:59.436508,2022-09-05 22:17:38,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-08 04:24:42,3,127,2022-07-24 07:03:14.062992,2022-09-05 22:17:38,2023-06-23 10:41:36.333333,2023-07-10 23:59:19
2023-Aug-09 04:25:28,4,127,2022-07-24 07:03:14.062992,2022-09-05 22:17:38,2023-07-05 00:47:52.250000,2023-07-11 17:10:13
2023-Aug-10 04:25:37,4,127,2022-07-24 07:03:14.062992,2022-09-05 22:17:38,2023-07-05 00:47:52.250000,2023-07-11 17:10:13
2023-Aug-11 04:24:36,4,127,2022-07-24 07:03:14.062992,2022-09-05 22:17:38,2023-07-05 00:47:52.250000,2023-07-11 17:10:13
2023-Aug-12 04:23:57,6,129,2022-07-30 05:41:22.883721,2022-09-13 10:17:05,2023-07-17 13:21:09.333333,2023-08-08 19:06:40
2023-Aug-13 04:23:23,6,129,2022-07-30 05:41:22.883721,2022-09-13 10:17:05,2023-07-18 04:54:35,2023-08-11 13:04:41
2023-Aug-14 04:25:12,6,129,2022-07-30 05:41:22.883721,2022-09-13 10:17:05,2023-07-18 04:54:35,2023-08-11 13:04:41
2023-Aug-15 04:24:35,5,129,2022-07-30 06:16:30.341085,2022-09-13 10:17:05,2023-07-13 02:36:03.200000,2023-07-11 17:10:13
2023-Aug-16 04:25:26,7,129,2022-07-30 11:20:55.015504,2022-09-13 10:17:05,2023-07-23 09:40:40.714286,2023-08-11 13:04:41
2023-Aug-17 04:24:56,5,129,2022-07-30 12:16:50.976744,2022-09-13 10:17:05,2023-07-22 05:39:38,2023-08-16 01:35:15
2023-Aug-18 04:25:13,8,128,2022-07-27 12:44:22.593750,2022-09-13 10:17:05,2023-08-01 05:14:58,2023-08-16 20:41:29
2023-Aug-19 04:24:54,16,129,2022-07-30 12:48:12.232558,2022-09-13 10:17:05,2023-08-10 04:57:20.875000,2023-08-18 19:08:10
2023-Aug-20 04:23:35,16,129,2022-07-30 12:48:12.232558,2022-09-13 10:17:05,2023-08-10 04:57:20.875000,2023-08-18 19:08:10
2023-Aug-21 04:24:34,16,129,2022-07-30 12:48:12.232558,2022-09-13 10:17:05,2023-08-10 04:57:20.875000,2023-08-18 19:08:10
2023-Aug-22 04:24:30,13,129,2022-07-30 12:48:12.232558,2022-09-13 10:17:05,2023-08-08 06:24:11.307692,2023-08-18 18:09:58
2023-Aug-23 04:24:43,9,124,2022-07-17 05:58:05.048387,2022-08-30 19:11:31,2023-08-10 05:11:14.444444,2023-08-19 00:22:16
2023-Aug-24 04:24:46,6,123,2022-07-14 04:54:39.756098,2022-08-25 18:28:32,2023-08-03 19:58:18.333333,2023-08-18 18:09:58
2023-Aug-25 04:25:14,5,124,2022-07-17 11:33:57.556452,2022-08-30 19:11:31,2023-08-01 00:39:10,2023-08-18 18:09:58
2023-Aug-26 04:23:39,3,122,2022-07-11 07:17:18.508197,2022-08-25 18:28:32,2023-07-20 02:54:32,2023-08-17 20:33:48
2023-Aug-27 04:23:50,4,122,2022-07-11 07:17:18.508197,2022-08-25 18:28:32,2023-07-29 09:24:49.500000,2023-08-22 21:14:31
2023-Aug-28 04:25:17,4,122,2022-07-11 07:17:18.508197,2022-08-25 18:28:32,2023-07-29 09:24:49.500000,2023-08-22 21:14:31
2023-Aug-29 04:25:12,4,123,2022-07-14 15:56:29.333333,2022-08-25 18:28:32,2023-07-29 09:24:49.500000,2023-08-22 21:14:31
2023-Aug-30 04:25:39,4,123,2022-07-14 15:56:29.333333,2022-08-25 18:28:32,2023-07-29 09:24:49.500000,2023-08-22 21:14:31
2023-Aug-31 04:25:07,5,123,2022-07-14 15:56:29.333333,2022-08-25 18:28:32,2023-08-04 20:27:51,2023-08-22 21:14:31
2023-Sep-01 04:25:31,6,123,2022-07-14 15:56:29.333333,2022-08-25 18:28:32,2023-08-09 07:42:24,2023-08-26 04:55:42
2023-Sep-02 04:24:27,6,123,2022-07-14 15:56:29.333333,2022-08-25 18:28:32,2023-08-09 07:42:24,2023-08-26 04:55:42
